Position,Driver,Constructor,Points,Wins
1,Jack Brabham,Brabham,9,1
2,Denny Hulme,McLaren-Ford,6,0
3,Jackie Stewart,March,4,0
4,Jean-Pierre Beltoise,Matra,3,0
5,John Miles,Team Lotus,2,0
6,Graham Hill,Team Lotus,1,0
7,Henri Pescarolo,Matra,0,0
8,John Love,Team Lotus,0,0
9,Pedro Rodríguez,BRM,0,0
10,Jo Siffert,March,0,0
11,Peter de Klerk,Brabham,0,0
12,Dave Charlton,Team Lotus,0,0
13,Jochen Rindt,Team Lotus,0,0
14,Jacky Ickx,Ferrari,0,0
15,John Surtees,McLaren-Ford,0,0
16,George Eaton,BRM,0,0
17,Johnny Servoz-Gavin,March,0,0
18,Bruce McLaren,McLaren-Ford,0,0
19,Piers Courage,De Tomaso,0,0
20,Mario Andretti,March,0,0
21,Rolf Stommelen,Brabham,0,0
22,Jackie Oliver,BRM,0,0
23,Chris Amon,March,0,0
