position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Ferrari,1:46.017,1:44.743,1:43.885
2,3,Daniel Ricciardo,Red Bull,1:46.166,1:45.291,1:44.428
3,7,Kimi Räikkönen,Ferrari,1:46.467,1:45.140,1:44.667
4,26,Daniil Kvyat,Red Bull,1:45.340,1:44.979,1:44.745
5,44,Lewis Hamilton,Mercedes,1:45.765,1:45.650,1:45.300
6,6,Nico Rosberg,Mercedes,1:46.201,1:45.653,1:45.415
7,77,Valtteri Bottas,Williams,1:46.231,1:45.887,1:45.676
8,33,Max Verstappen,Toro Rosso,1:46.483,1:45.635,1:45.798
9,19,Felipe Massa,Williams,1:46.879,1:45.701,1:46.077
10,8,Romain Grosjean,Lotus F1,1:46.860,1:45.805,1:46.413
11,27,Nico Hülkenberg,Force India,1:46.669,1:46.305,
12,14,Fernando Alonso,McLaren,1:46.600,1:46.328,
13,11,Sergio Pérez,Force India,1:46.576,1:46.385,
14,55,Carlos Sainz,Toro Rosso,1:46.465,1:46.894,
15,22,Jenson Button,McLaren,1:45.891,1:47.019,
16,12,Felipe Nasr,Sauber,1:46.965,,
17,9,Marcus Ericsson,Sauber,1:47.088,,
18,13,Pastor Maldonado,Lotus F1,1:47.323,,
19,28,Will Stevens,Manor Marussia,1:51.021,,
20,53,Alexander Rossi,Manor Marussia,1:51.523,,
