Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Ferrari,177,3
2,Lewis Hamilton,Mercedes,176,4
3,Valtteri Bottas,Mercedes,154,2
4,Daniel Ricciardo,Red Bull,117,1
5,Kimi Räikkönen,Ferrari,98,0
6,Max Verstappen,Red Bull,57,0
7,Sergio Pérez,Force India,52,0
8,Esteban Ocon,Force India,43,0
9,Carlos Sainz,Toro Rosso,29,0
10,Nico Hülkenberg,Renault,26,0
11,Felipe Massa,Williams,23,0
12,Lance Stroll,Williams,18,0
13,Romain Grosjean,Haas F1 Team,18,0
14,Kevin Magnussen,Haas F1 Team,11,0
15,Pascal Wehrlein,Sauber,5,0
16,Daniil Kvyat,Toro Rosso,4,0
17,Fernando Alonso,McLaren,2,0
18,Jolyon Palmer,Renault,0,0
19,Marcus Ericsson,Sauber,0,0
20,Stoffel Vandoorne,McLaren,0,0
21,Antonio Giovinazzi,Sauber,0,0
22,Jenson Button,McLaren,0,0
