position,number,driver,constructor,Q1,Q2,Q3
1,1,Mika Häkkinen,McLaren,1:30.556,,
2,2,David Coulthard,McLaren,1:30.910,,
3,3,Michael Schumacher,Ferrari,1:31.075,,
4,4,Rubens Barrichello,Ferrari,1:31.102,,
5,5,Heinz-Harald Frentzen,Jordan,1:31.359,,
6,6,Jarno Trulli,Jordan,1:31.504,,
7,7,Eddie Irvine,Jaguar,1:31.514,,
8,22,Jacques Villeneuve,BAR,1:31.968,,
9,11,Giancarlo Fisichella,Benetton,1:31.992,,
10,17,Mika Salo,Sauber,1:32.018,,
11,9,Ralf Schumacher,Williams,1:32.220,,
12,18,Pedro de la Rosa,Arrows,1:32.323,,
13,19,Jos Verstappen,Arrows,1:32.477,,
14,12,Alexander Wurz,Benetton,1:32.775,,
15,15,Nick Heidfeld,Prost,1:33.024,,
16,23,Ricardo Zonta,BAR,1:33.117,,
17,14,Jean Alesi,Prost,1:33.197,,
18,20,Marc Gené,Minardi,1:33.261,,
19,16,Pedro Diniz,Sauber,1:33.378,,
20,8,Johnny Herbert,Jaguar,1:33.638,,
21,10,Jenson Button,Williams,1:33.828,,
22,21,Gastón Mazzacane,Minardi,1:34.705,,
