Position,Driver,Constructor,Points,Wins
1,Graham Hill,BRM,32,1
2,Jim Clark,Lotus-Climax,30,3
3,John Surtees,Ferrari,19,1
4,Richie Ginther,BRM,11,0
5,Peter Arundell,Lotus-Climax,11,0
6,Jack Brabham,Brabham-Climax,11,0
7,Dan Gurney,Brabham-Climax,10,1
8,Bruce McLaren,Cooper-Climax,7,0
9,Lorenzo Bandini,Ferrari,6,0
10,Jo Siffert,Lotus-BRM,3,0
11,Jo Bonnier,Cooper-Climax,2,0
12,Chris Amon,Lotus-BRM,2,0
13,Maurice Trintignant,BRM,2,0
14,Bob Anderson,Brabham-Climax,1,0
15,Phil Hill,Cooper-Climax,1,0
16,Mike Hailwood,Lotus-BRM,1,0
17,Tony Maggs,BRM,1,0
18,Trevor Taylor,BRP,0,0
19,Mike Spence,Lotus-Climax,0,0
20,Giancarlo Baghetti,BRM,0,0
21,Gerhard Mitter,Lotus-Climax,0,0
22,Innes Ireland,Lotus-BRM,0,0
23,Ronnie Bucknum,Honda,0,0
24,Peter Revson,Lotus-BRM,0,0
25,John Taylor,Cooper-Climax,0,0
26,André Pilette,Scirocco,0,0
27,Carel Godin de Beaufort,Porsche,0,0
28,Edgar Barth,Cooper-Climax,0,0
29,Ian Raby,Brabham-BRM,0,0
30,Bernard Collomb,Lotus-BRM,0,0
