Position,Driver,Constructor,Points,Wins
1,Nico Rosberg,Mercedes,140,2
2,Lewis Hamilton,Mercedes,118,4
3,Daniel Ricciardo,Red Bull,79,1
4,Fernando Alonso,Ferrari,69,0
5,Sebastian Vettel,Red Bull,60,0
6,Nico Hülkenberg,Force India,57,0
7,Jenson Button,McLaren,43,0
8,Valtteri Bottas,Williams,40,0
9,Kevin Magnussen,McLaren,23,0
10,Sergio Pérez,Force India,20,0
11,Felipe Massa,Williams,18,0
12,Kimi Räikkönen,Ferrari,18,0
13,Romain Grosjean,Lotus F1,8,0
14,Jean-Éric Vergne,Toro Rosso,8,0
15,Daniil Kvyat,Toro Rosso,4,0
16,Jules Bianchi,Marussia,2,0
17,Adrian Sutil,Sauber,0,0
18,Marcus Ericsson,Caterham,0,0
19,Esteban Gutiérrez,Sauber,0,0
20,Max Chilton,Marussia,0,0
21,Kamui Kobayashi,Caterham,0,0
22,Pastor Maldonado,Lotus F1,0,0
