position,number,driver,constructor,laps,grid,status,points
1,3,Daniel Ricciardo,Red Bull,70,6,Finished,25
2,6,Nico Rosberg,Mercedes,70,1,Finished,18
3,1,Sebastian Vettel,Red Bull,70,3,Finished,15
4,22,Jenson Button,McLaren,70,9,Finished,12
5,27,Nico Hülkenberg,Force India,70,11,Finished,10
6,14,Fernando Alonso,Ferrari,70,7,Finished,8
7,77,Valtteri Bottas,Williams,70,4,Finished,6
8,25,Jean-Éric Vergne,Toro Rosso,70,8,Finished,4
9,20,Kevin Magnussen,McLaren,70,12,Finished,2
10,7,Kimi Räikkönen,Ferrari,70,10,Finished,1
11,11,Sergio Pérez,Force India,69,13,Collision,0
12,19,Felipe Massa,Williams,69,5,Collision,0
13,99,Adrian Sutil,Sauber,69,16,+1 Lap,0
14,21,Esteban Gutiérrez,Sauber,64,22,ERS,0
15,8,Romain Grosjean,Lotus F1,59,14,Rear wing,0
16,26,Daniil Kvyat,Toro Rosso,47,15,Drivetrain,0
17,44,Lewis Hamilton,Mercedes,46,2,Brakes,0
18,10,Kamui Kobayashi,Caterham,23,21,Suspension,0
19,13,Pastor Maldonado,Lotus F1,21,17,Power Unit,0
20,9,Marcus Ericsson,Caterham,7,20,Turbo,0
21,4,Max Chilton,Marussia,0,18,Collision,0
22,17,Jules Bianchi,Marussia,0,19,Collision,0
