position,number,driver,constructor,Q1,Q2,Q3
1,5,Damon Hill,Williams,1:28.124,,
2,1,Michael Schumacher,Benetton,1:28.397,,
3,6,David Coulthard,Williams,1:28.947,,
4,28,Gerhard Berger,Ferrari,1:29.657,,
5,2,Johnny Herbert,Benetton,1:29.867,,
6,27,Jean Alesi,Ferrari,1:29.874,,
7,15,Eddie Irvine,Jordan,1:30.083,,
8,8,Mika Häkkinen,McLaren,1:30.140,,
9,14,Rubens Barrichello,Jordan,1:30.354,,
10,7,Mark Blundell,McLaren,1:30.453,,
11,25,Martin Brundle,Ligier,1:30.946,,
12,30,Heinz-Harald Frentzen,Sauber,1:31.602,,
13,26,Olivier Panis,Ligier,1:31.842,,
14,3,Ukyo Katayama,Tyrrell,1:32.087,,
15,23,Pierluigi Martini,Minardi,1:32.259,,
16,29,Jean-Christophe Boullion,Sauber,1:33.166,,
17,9,Massimiliano Papis,Footwork,1:34.154,,
18,24,Luca Badoer,Minardi,1:34.556,,
19,10,Taki Inoue,Footwork,1:35.323,,
20,21,Pedro Diniz,Forti,1:36.023,,
21,16,Bertrand Gachot,Pacific,1:36.076,,
22,22,Roberto Moreno,Forti,1:36.651,,
23,3,Mika Salo,Tyrrell,1:48.639,,
24,17,Andrea Montermini,Pacific,1:52.398,,
