Position,Driver,Constructor,Points,Wins
1,Juan Fangio,Alfa Romeo,9,1
2,Piero Taruffi,Ferrari,6,0
3,Nino Farina,Alfa Romeo,4,0
4,Consalvo Sanesi,Alfa Romeo,3,0
5,Toulo de Graffenried,Alfa Romeo,2,0
6,Alberto Ascari,Ferrari,0,0
7,Louis Chiron,Maserati,0,0
8,Stirling Moss,HWM,0,0
9,Louis Rosier,Talbot-Lago,0,0
10,Philippe Étancelin,Talbot-Lago,0,0
11,Rudi Fischer,Ferrari,0,0
12,Harry Schell,Maserati,0,0
13,Johnny Claes,Talbot-Lago,0,0
14,Guy Mairesse,Talbot-Lago,0,0
15,Peter Whitehead,Ferrari,0,0
16,Henri Louveau,Talbot-Lago,0,0
17,George Abecassis,HWM,0,0
18,Yves Cabantous,Talbot-Lago,0,0
19,Luigi Villoresi,Ferrari,0,0
20,José Froilán González,Talbot-Lago,0,0
21,Peter Hirt,Veritas,0,0
