position,number,driver,constructor,Q1,Q2,Q3
1,28,Gerhard Berger,Ferrari,1:54.392,,
2,27,Jean Alesi,Ferrari,1:54.631,,
3,8,Mika Häkkinen,McLaren,1:55.435,,
4,2,Johnny Herbert,Benetton,1:56.085,,
5,6,David Coulthard,Williams,1:56.254,,
6,7,Mark Blundell,McLaren,1:56.622,,
7,15,Eddie Irvine,Jordan,1:57.001,,
8,5,Damon Hill,Williams,1:57.768,,
9,26,Olivier Panis,Ligier,1:58.021,,
10,30,Heinz-Harald Frentzen,Sauber,1:58.148,,
11,4,Mika Salo,Tyrrell,1:58.224,,
12,14,Rubens Barrichello,Jordan,1:58.293,,
13,26,Martin Brundle,Ligier,1:58.314,,
14,29,Jean-Christophe Boullion,Sauber,1:58.356,,
15,3,Ukyo Katayama,Tyrrell,1:58.551,,
16,1,Michael Schumacher,Benetton,1:59.079,,
17,23,Pedro Lamy,Minardi,1:59.256,,
18,10,Taki Inoue,Footwork,2:00.990,,
19,24,Luca Badoer,Minardi,2:01.013,,
20,9,Massimiliano Papis,Footwork,2:01.685,,
21,17,Andrea Montermini,Pacific,2:02.405,,
22,22,Roberto Moreno,Forti,2:03.817,,
23,16,Giovanni Lavaggi,Pacific,2:06.407,,
24,21,Pedro Diniz,Forti,2:09.537,,
