position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:32.983,1:32.835,1:31.304
2,33,Max Verstappen,Red Bull,1:33.630,1:33.157,1:31.867
3,77,Valtteri Bottas,Mercedes,1:32.656,1:32.405,1:31.956
4,11,Sergio Pérez,Racing Point,1:33.704,1:33.038,1:32.317
5,3,Daniel Ricciardo,Renault,1:33.650,1:32.218,1:32.364
6,55,Carlos Sainz,McLaren,1:33.967,1:32.757,1:32.550
7,31,Esteban Ocon,Renault,1:33.557,1:33.196,1:32.624
8,4,Lando Norris,McLaren,1:33.804,1:33.081,1:32.847
9,10,Pierre Gasly,AlphaTauri,1:33.734,1:33.139,1:33.000
10,23,Alexander Albon,Red Bull,1:33.919,1:33.153,1:33.008
11,16,Charles Leclerc,Ferrari,1:34.071,1:33.239,
12,26,Daniil Kvyat,AlphaTauri,1:33.511,1:33.249,
13,18,Lance Stroll,Racing Point,1:33.852,1:33.364,
14,63,George Russell,Williams,1:34.020,1:33.583,
15,5,Sebastian Vettel,Ferrari,1:34.134,1:33.609,
16,8,Romain Grosjean,Haas F1 Team,1:34.592,,
17,99,Antonio Giovinazzi,Alfa Romeo,1:34.594,,
18,20,Kevin Magnussen,Haas F1 Team,1:34.681,,
19,6,Nicholas Latifi,Williams,1:35.066,,
20,7,Kimi Räikkönen,Alfa Romeo,1:35.267,,
