Position,Driver,Constructor,Points,Wins
1,Phil Hill,Ferrari,19,1
2,Wolfgang von Trips,Ferrari,18,1
3,Stirling Moss,Lotus-Climax,12,1
4,Richie Ginther,Ferrari,12,0
5,Jim Clark,Lotus-Climax,4,0
6,Olivier Gendebien,Emeryson,3,0
7,Dan Gurney,Porsche,3,0
8,John Surtees,Cooper-Climax,2,0
9,Bruce McLaren,Cooper-Climax,1,0
10,Jack Brabham,Cooper-Climax,1,0
11,Jo Bonnier,Porsche,0,0
12,Maurice Trintignant,Cooper-Maserati,0,0
13,Graham Hill,BRM,0,0
14,Cliff Allison,Lotus-Climax,0,0
15,Tony Brooks,BRM,0,0
16,Hans Herrmann,Porsche,0,0
17,Jackie Lewis,Cooper-Climax,0,0
18,Masten Gregory,Cooper-Climax,0,0
19,Carel Godin de Beaufort,Porsche,0,0
20,Trevor Taylor,Lotus-Climax,0,0
21,Michael May,Lotus-Climax,0,0
22,Lorenzo Bandini,Cooper-Maserati,0,0
23,Innes Ireland,Lotus-Climax,0,0
24,Ian Burgess,Lotus-Climax,0,0
25,Henry Taylor,Lotus-Climax,0,0
26,Lucien Bianchi,Emeryson,0,0
27,Willy Mairesse,Lotus-Climax,0,0
28,Tony Marsh,Lotus-Climax,0,0
29,Wolfgang Seidel,Lotus-Climax,0,0
