position,number,driver,constructor,Q1,Q2,Q3
1,5,Michael Schumacher,Ferrari,1:15.865,1:15.111,1:15.493
2,6,Felipe Massa,Ferrari,1:16.277,1:15.679,1:15.510
3,1,Fernando Alonso,Renault,1:16.328,1:15.706,1:15.785
4,8,Jarno Trulli,Toyota,1:15.550,1:15.776,1:16.036
5,7,Ralf Schumacher,Toyota,1:15.949,1:15.625,1:16.091
6,3,Kimi Räikkönen,McLaren,1:16.154,1:15.742,1:16.281
7,2,Giancarlo Fisichella,Renault,1:16.825,1:15.901,1:16.345
8,4,Pedro de la Rosa,McLaren,1:16.679,1:15.902,1:16.632
9,10,Nico Rosberg,Williams,1:16.534,1:15.926,1:18.272
10,14,David Coulthard,Red Bull,1:16.350,1:15.974,1:18.663
11,9,Mark Webber,Williams,1:16.531,1:16.129,
12,16,Nick Heidfeld,BMW Sauber,1:16.686,1:16.294,
13,15,Christian Klien,Red Bull,1:16.921,1:16.433,
14,11,Rubens Barrichello,Honda,1:17.022,1:17.027,
15,21,Scott Speed,Toro Rosso,1:17.117,1:17.063,
16,19,Christijan Albers,MF1,1:16.962,1:17.105,
17,20,Vitantonio Liuzzi,Toro Rosso,1:17.164,,
18,17,Jacques Villeneuve,BMW Sauber,1:17.304,,
19,12,Jenson Button,Honda,1:17.495,,
20,18,Tiago Monteiro,MF1,1:17.589,,
21,23,Franck Montagny,Super Aguri,1:18.637,,
22,22,Takuma Sato,Super Aguri,1:18.845,,
