Position,Driver,Constructor,Points,Wins
1,Nino Farina,Alfa Romeo,18,2
2,Luigi Fagioli,Alfa Romeo,12,0
3,Juan Fangio,Alfa Romeo,9,1
4,Johnnie Parsons,Kurtis Kraft,9,1
5,Alberto Ascari,Ferrari,6,0
6,Bill Holland,Deidt,6,0
7,Louis Rosier,Talbot-Lago,6,0
8,Prince Bira,Maserati,5,0
9,Louis Chiron,Maserati,4,0
10,Reg Parnell,Alfa Romeo,4,0
11,Mauri Rose,Deidt,4,0
12,Raymond Sommer,Ferrari,3,0
13,Yves Cabantous,Talbot-Lago,3,0
14,Cecil Green,Kurtis Kraft,3,0
15,Felice Bonetto,Maserati,2,0
16,Tony Bettenhausen,Deidt,1,0
17,Joie Chitwood,Kurtis Kraft,1,0
18,Bob Gerard,ERA,0,0
19,Toulo de Graffenried,Maserati,0,0
20,Lee Wallard,Moore,0,0
21,Johnny Claes,Talbot-Lago,0,0
22,Cuth Harrison,ERA,0,0
23,Walt Faulkner,Kurtis Kraft,0,0
24,Nello Pagani,Maserati,0,0
25,Philippe Étancelin,Talbot-Lago,0,0
26,Harry Schell,Cooper,0,0
27,George Connor,Lesovsky,0,0
28,David Hampshire,Maserati,0,0
29,Paul Russo,Nichels,0,0
30,Pat Flaherty,Kurtis Kraft,0,0
