position,number,driver,constructor,Q1,Q2,Q3
1,6,Kimi Räikkönen,McLaren,1:18.233,,
2,2,Rubens Barrichello,Ferrari,1:18.305,,
3,9,Jenson Button,BAR,1:18.580,,
4,1,Michael Schumacher,Ferrari,1:18.710,,
5,7,Jarno Trulli,Renault,1:18.715,,
6,8,Fernando Alonso,Renault,1:18.811,,
7,5,David Coulthard,McLaren,1:19.148,,
8,3,Juan Pablo Montoya,Williams,1:19.378,,
9,10,Takuma Sato,BAR,1:19.688,,
10,14,Mark Webber,Jaguar,1:20.004,,
11,12,Felipe Massa,Sauber,1:20.202,,
12,17,Olivier Panis,Toyota,1:20.335,,
13,4,Marc Gené,Williams,1:20.335,,
14,16,Cristiano da Matta,Toyota,1:20.545,,
15,15,Christian Klien,Jaguar,1:21.559,,
16,19,Giorgio Pantano,Jordan,1:22.458,,
17,18,Nick Heidfeld,Jordan,1:22.677,,
18,20,Gianmaria Bruni,Minardi,1:23.437,,
19,21,Zsolt Baumgartner,Minardi,1:24.117,,
20,11,Giancarlo Fisichella,Sauber,,,
