round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1977-01-09,,Autódromo Juan y Oscar Gálvez,Argentina
2,Brazilian Grand Prix,1977-01-23,,Autódromo José Carlos Pace,Brazil
3,South African Grand Prix,1977-03-05,,Kyalami,South Africa
4,United States Grand Prix West,1977-04-03,,Long Beach,USA
5,Spanish Grand Prix,1977-05-08,,Jarama,Spain
6,Monaco Grand Prix,1977-05-22,,Circuit de Monaco,Monaco
7,Belgian Grand Prix,1977-06-05,,Zolder,Belgium
8,Swedish Grand Prix,1977-06-19,,Scandinavian Raceway,Sweden
9,French Grand Prix,1977-07-03,,Dijon-Prenois,France
10,British Grand Prix,1977-07-16,,Silverstone Circuit,UK
11,German Grand Prix,1977-07-31,,Hockenheimring,Germany
12,Austrian Grand Prix,1977-08-14,,Red Bull Ring,Austria
13,Dutch Grand Prix,1977-08-28,,Circuit Park Zandvoort,Netherlands
14,Italian Grand Prix,1977-09-11,,Autodromo Nazionale di Monza,Italy
15,United States Grand Prix,1977-10-02,,Watkins Glen,USA
16,Canadian Grand Prix,1977-10-09,,Mosport International Raceway,Canada
17,Japanese Grand Prix,1977-10-23,,Fuji Speedway,Japan
