position,number,driver,constructor,Q1,Q2,Q3
1,1,Fernando Alonso,Renault,1:44.128,1:43.951,1:44.360
2,2,Giancarlo Fisichella,Renault,1:44.378,1:44.336,1:44.992
3,11,Rubens Barrichello,Honda,1:47.072,1:45.228,1:45.503
4,12,Jenson Button,Honda,1:45.809,1:44.662,1:45.503
5,3,Kimi Räikkönen,McLaren,1:44.909,1:45.622,1:45.754
6,5,Michael Schumacher,Ferrari,1:47.366,1:45.660,1:45.775
7,4,Pedro de la Rosa,McLaren,1:44.808,1:45.095,1:45.877
8,16,Nick Heidfeld,BMW Sauber,1:46.249,1:45.055,1:46.053
9,17,Robert Kubica,BMW Sauber,1:46.049,1:45.576,1:46.632
10,15,Robert Doornbos,Red Bull,1:46.387,1:45.747,1:48.021
11,21,Scott Speed,Toro Rosso,1:46.222,1:45.851,
12,14,David Coulthard,Red Bull,1:45.931,1:45.968,
13,20,Vitantonio Liuzzi,Toro Rosso,1:45.564,1:46.172,
14,9,Mark Webber,Williams,1:48.560,1:46.413,
15,10,Nico Rosberg,Williams,1:47.535,1:47.419,
16,7,Ralf Schumacher,Toyota,1:48.894,,
17,8,Jarno Trulli,Toyota,1:49.098,,
18,18,Tiago Monteiro,Spyker MF1,1:49.903,,
19,23,Sakon Yamamoto,Super Aguri,1:55.560,,
20,6,Felipe Massa,Ferrari,1:47.231,1:45.970,
21,22,Takuma Sato,Super Aguri,1:50.326,,
22,19,Christijan Albers,Spyker MF1,1:49.542,,
