position,number,driver,constructor,Q1,Q2,Q3
1,1,Michael Schumacher,Ferrari,1:22.327,,
2,4,Ralf Schumacher,Williams,1:22.341,,
3,2,Rubens Barrichello,Ferrari,1:22.557,,
4,3,Juan Pablo Montoya,Williams,1:22.789,,
5,14,Mark Webber,Jaguar,1:23.015,,
6,6,Kimi Räikkönen,McLaren,1:23.148,,
7,16,Jacques Villeneuve,BAR,1:23.160,,
8,8,Fernando Alonso,Renault,1:23.169,,
9,17,Jenson Button,BAR,1:23.381,,
10,20,Olivier Panis,Toyota,1:23.460,,
11,9,Nick Heidfeld,Sauber,1:23.700,,
12,5,David Coulthard,McLaren,1:23.818,,
13,21,Cristiano da Matta,Toyota,1:23.838,,
14,10,Heinz-Harald Frentzen,Sauber,1:23.932,,
15,15,Antônio Pizzonia,Jaguar,1:24.147,,
16,7,Jarno Trulli,Renault,1:24.190,,
17,11,Giancarlo Fisichella,Jordan,1:24.317,,
18,18,Justin Wilson,Minardi,1:25.826,,
19,12,Ralph Firman,Jordan,1:26.357,,
20,19,Jos Verstappen,Minardi,,,
