Position,Driver,Constructor,Points,Wins
1,Nico Rosberg,Mercedes,238,4
2,Lewis Hamilton,Mercedes,216,6
3,Daniel Ricciardo,Red Bull,166,3
4,Valtteri Bottas,Williams,122,0
5,Fernando Alonso,Ferrari,121,0
6,Sebastian Vettel,Red Bull,106,0
7,Jenson Button,McLaren,72,0
8,Nico Hülkenberg,Force India,70,0
9,Felipe Massa,Williams,55,0
10,Kimi Räikkönen,Ferrari,41,0
11,Sergio Pérez,Force India,39,0
12,Kevin Magnussen,McLaren,38,0
13,Jean-Éric Vergne,Toro Rosso,11,0
14,Romain Grosjean,Lotus F1,8,0
15,Daniil Kvyat,Toro Rosso,8,0
16,Jules Bianchi,Marussia,2,0
17,Adrian Sutil,Sauber,0,0
18,Marcus Ericsson,Caterham,0,0
19,Pastor Maldonado,Lotus F1,0,0
20,Esteban Gutiérrez,Sauber,0,0
21,Max Chilton,Marussia,0,0
22,Kamui Kobayashi,Caterham,0,0
23,André Lotterer,Caterham,0,0
