Position,Driver,Constructor,Points,Wins
1,Mark Webber,Red Bull,202,4
2,Fernando Alonso,Ferrari,191,4
3,Lewis Hamilton,McLaren,182,3
4,Sebastian Vettel,Red Bull,181,2
5,Jenson Button,McLaren,177,2
6,Felipe Massa,Ferrari,128,0
7,Nico Rosberg,Mercedes,122,0
8,Robert Kubica,Renault,114,0
9,Adrian Sutil,Force India,47,0
10,Michael Schumacher,Mercedes,46,0
11,Rubens Barrichello,Williams,39,0
12,Kamui Kobayashi,Sauber,21,0
13,Vitaly Petrov,Renault,19,0
14,Nico Hülkenberg,Williams,17,0
15,Vitantonio Liuzzi,Force India,13,0
16,Sébastien Buemi,Toro Rosso,7,0
17,Pedro de la Rosa,Sauber,6,0
18,Jaime Alguersuari,Toro Rosso,3,0
19,Heikki Kovalainen,Lotus,0,0
20,Karun Chandhok,HRT,0,0
21,Lucas di Grassi,Virgin,0,0
22,Jarno Trulli,Lotus,0,0
23,Bruno Senna,HRT,0,0
24,Timo Glock,Virgin,0,0
25,Sakon Yamamoto,HRT,0,0
26,Nick Heidfeld,Sauber,0,0
27,Christian Klien,HRT,0,0
