round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1986-03-23,,Autódromo Internacional Nelson Piquet,Brazil
2,Spanish Grand Prix,1986-04-13,,Circuito de Jerez,Spain
3,San Marino Grand Prix,1986-04-27,,Autodromo Enzo e Dino Ferrari,Italy
4,Monaco Grand Prix,1986-05-11,,Circuit de Monaco,Monaco
5,Belgian Grand Prix,1986-05-25,,Circuit de Spa-Francorchamps,Belgium
6,Canadian Grand Prix,1986-06-15,,Circuit Gilles Villeneuve,Canada
7,Detroit Grand Prix,1986-06-22,,Detroit Street Circuit,USA
8,French Grand Prix,1986-07-06,,Circuit Paul Ricard,France
9,British Grand Prix,1986-07-13,,Brands Hatch,UK
10,German Grand Prix,1986-07-27,,Hockenheimring,Germany
11,Hungarian Grand Prix,1986-08-10,,Hungaroring,Hungary
12,Austrian Grand Prix,1986-08-17,,Red Bull Ring,Austria
13,Italian Grand Prix,1986-09-07,,Autodromo Nazionale di Monza,Italy
14,Portuguese Grand Prix,1986-09-21,,Autódromo do Estoril,Portugal
15,Mexican Grand Prix,1986-10-12,,Autódromo Hermanos Rodríguez,Mexico
16,Australian Grand Prix,1986-10-26,,Adelaide Street Circuit,Australia
