position,number,driver,constructor,Q1,Q2,Q3
1,16,Charles Leclerc,Ferrari,1:42.241,1:41.659,1:41.218
2,44,Lewis Hamilton,Mercedes,1:41.545,1:41.634,1:41.450
3,33,Max Verstappen,Red Bull,1:41.760,1:41.625,1:41.563
4,10,Pierre Gasly,AlphaTauri,1:42.288,1:41.932,1:41.565
5,55,Carlos Sainz,Ferrari,1:42.121,1:41.740,1:41.576
6,4,Lando Norris,McLaren,1:42.167,1:41.813,1:41.747
7,11,Sergio Pérez,Red Bull,1:41.968,1:41.630,1:41.917
8,22,Yuki Tsunoda,AlphaTauri,1:42.521,1:41.654,1:42.211
9,14,Fernando Alonso,Alpine F1 Team,1:42.934,1:42.195,1:42.327
10,77,Valtteri Bottas,Mercedes,1:42.701,1:42.106,1:42.659
11,5,Sebastian Vettel,Aston Martin,1:42.460,1:42.224,
12,31,Esteban Ocon,Alpine F1 Team,1:42.426,1:42.273,
13,3,Daniel Ricciardo,McLaren,1:42.304,1:42.558,
14,7,Kimi Räikkönen,Alfa Romeo,1:42.923,1:42.587,
15,63,George Russell,Williams,1:42.728,1:42.758,
16,6,Nicholas Latifi,Williams,1:43.128,,
17,47,Mick Schumacher,Haas F1 Team,1:44.158,,
18,9,Nikita Mazepin,Haas F1 Team,1:44.238,,
19,18,Lance Stroll,Aston Martin,,,
20,99,Antonio Giovinazzi,Alfa Romeo,,,
