round,raceName,date,time,circuit,country
1,Swiss Grand Prix,1951-05-27,,Circuit Bremgarten,Switzerland
2,Indianapolis 500,1951-05-30,,Indianapolis Motor Speedway,USA
3,Belgian Grand Prix,1951-06-17,,Circuit de Spa-Francorchamps,Belgium
4,French Grand Prix,1951-07-01,,Reims-Gueux,France
5,British Grand Prix,1951-07-14,,Silverstone Circuit,UK
6,German Grand Prix,1951-07-29,,Nürburgring,Germany
7,Italian Grand Prix,1951-09-16,,Autodromo Nazionale di Monza,Italy
8,Spanish Grand Prix,1951-10-28,,Circuit de Pedralbes,Spain
