Position,Driver,Constructor,Points,Wins
1,Jim Clark,Lotus-Climax,54,6
2,Graham Hill,BRM,30,1
3,Jackie Stewart,BRM,25,0
4,John Surtees,Ferrari,17,0
5,Dan Gurney,Brabham-Climax,9,0
6,Bruce McLaren,Cooper-Climax,8,0
7,Lorenzo Bandini,Ferrari,7,0
8,Mike Spence,Lotus-Climax,6,0
9,Jack Brabham,Brabham-Climax,5,0
10,Denny Hulme,Brabham-Climax,5,0
11,Jochen Rindt,Cooper-Climax,3,0
12,Jo Siffert,Brabham-BRM,2,0
13,Richie Ginther,Honda,2,0
14,Jo Bonnier,Brabham-Climax,0,0
15,Frank Gardner,Brabham-BRM,0,0
16,Masten Gregory,BRM,0,0
17,Bob Anderson,Brabham-Climax,0,0
18,Paul Hawkins,Brabham-Ford,0,0
19,Innes Ireland,Lotus-BRM,0,0
20,Peter de Klerk,Alfa Romeo,0,0
21,Ian Raby,Brabham-BRM,0,0
22,Tony Maggs,Lotus-BRM,0,0
23,Richard Attwood,Lotus-BRM,0,0
24,Lucien Bianchi,BRM,0,0
25,Sam Tingle,LDS-Alfa Romeo,0,0
26,David Prophet,Brabham-Ford,0,0
27,Chris Amon,Lotus-BRM,0,0
28,Gerhard Mitter,Lotus-Climax,0,0
29,Ronnie Bucknum,Honda,0,0
30,Mike Hailwood,Lotus-BRM,0,0
