position,number,driver,constructor,Q1,Q2,Q3
1,33,Max Verstappen,Red Bull,1:15.949,1:16.136,1:14.758
2,16,Charles Leclerc,Ferrari,1:16.364,1:16.219,1:15.024
3,5,Sebastian Vettel,Ferrari,1:16.696,1:15.914,1:15.170
4,44,Lewis Hamilton,Mercedes,1:16.424,1:15.721,1:15.262
5,23,Alexander Albon,Red Bull,1:16.175,1:16.574,1:15.336
6,77,Valtteri Bottas,Mercedes,1:17.062,1:15.852,1:15.338
7,55,Carlos Sainz,McLaren,1:17.044,1:16.267,1:16.014
8,4,Lando Norris,McLaren,1:17.092,1:16.447,1:16.322
9,26,Daniil Kvyat,Toro Rosso,1:17.041,1:16.657,1:16.469
10,10,Pierre Gasly,Toro Rosso,1:17.065,1:16.679,1:16.586
11,11,Sergio Pérez,Racing Point,1:17.465,1:16.687,
12,27,Nico Hülkenberg,Renault,1:17.608,1:16.885,
13,3,Daniel Ricciardo,Renault,1:17.270,1:16.933,
14,7,Kimi Räikkönen,Alfa Romeo,1:17.225,1:16.967,
15,99,Antonio Giovinazzi,Alfa Romeo,1:17.794,1:17.269,
16,18,Lance Stroll,Racing Point,1:18.065,,
17,20,Kevin Magnussen,Haas F1 Team,1:18.436,,
18,8,Romain Grosjean,Haas F1 Team,1:18.599,,
19,63,George Russell,Williams,1:18.823,,
20,88,Robert Kubica,Williams,1:20.179,,
