position,number,driver,constructor,Q1,Q2,Q3
1,4,Robert Kubica,BMW Sauber,1:32.893,1:31.745,1:33.096
2,2,Felipe Massa,Ferrari,1:31.937,1:31.188,1:33.123
3,22,Lewis Hamilton,McLaren,1:32.750,1:31.922,1:33.292
4,1,Kimi Räikkönen,Ferrari,1:32.652,1:31.933,1:33.418
5,23,Heikki Kovalainen,McLaren,1:33.057,1:31.718,1:33.488
6,3,Nick Heidfeld,BMW Sauber,1:33.137,1:31.909,1:33.737
7,11,Jarno Trulli,Toyota,1:32.493,1:32.159,1:33.994
8,7,Nico Rosberg,Williams,1:32.903,1:32.185,1:34.015
9,16,Jenson Button,Honda,1:32.793,1:32.362,1:35.057
10,5,Fernando Alonso,Renault,1:32.947,1:32.345,1:35.115
11,10,Mark Webber,Red Bull,1:33.194,1:32.371,
12,17,Rubens Barrichello,Honda,1:32.944,1:32.508,
13,12,Timo Glock,Toyota,1:32.800,1:32.528,
14,6,Nelson Piquet Jr.,Renault,1:32.975,1:32.790,
15,14,Sébastien Bourdais,Toro Rosso,1:33.415,1:32.915,
16,8,Kazuki Nakajima,Williams,1:33.386,1:32.943,
17,9,David Coulthard,Red Bull,1:33.433,,
18,21,Giancarlo Fisichella,Force India,1:33.501,,
19,15,Sebastian Vettel,Toro Rosso,1:33.562,,
20,20,Adrian Sutil,Force India,1:33.845,,
21,19,Anthony Davidson,Super Aguri,1:34.140,,
22,18,Takuma Sato,Super Aguri,1:35.725,,
