position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:29.047,1:27.819,1:27.319
2,77,Valtteri Bottas,Mercedes,1:29.332,1:28.543,1:27.651
3,5,Sebastian Vettel,Ferrari,1:29.352,1:28.225,1:27.791
4,3,Daniel Ricciardo,Red Bull,1:29.475,1:28.935,1:28.306
5,33,Max Verstappen,Red Bull,1:29.181,1:28.747,1:28.332
6,7,Kimi Räikkönen,Ferrari,1:29.163,1:29.079,1:28.498
7,31,Esteban Ocon,Force India,1:30.115,1:29.199,1:29.111
8,11,Sergio Pérez,Force India,1:29.696,1:29.343,1:29.260
9,19,Felipe Massa,Williams,1:30.352,1:29.687,1:29.480
10,14,Fernando Alonso,McLaren,1:30.525,1:29.749,1:30.687
11,2,Stoffel Vandoorne,McLaren,1:30.654,1:29.778,
12,27,Nico Hülkenberg,Renault,1:30.252,1:29.879,
13,20,Kevin Magnussen,Haas F1 Team,1:30.774,1:29.972,
14,30,Jolyon Palmer,Renault,1:30.516,1:30.022,
15,55,Carlos Sainz,Toro Rosso,1:30.565,1:30.413,
16,8,Romain Grosjean,Haas F1 Team,1:30.849,,
17,10,Pierre Gasly,Toro Rosso,1:31.317,,
18,18,Lance Stroll,Williams,1:31.409,,
19,9,Marcus Ericsson,Sauber,1:31.597,,
20,94,Pascal Wehrlein,Sauber,1:31.885,,
