Position,Driver,Constructor,Points,Wins
1,Emerson Fittipaldi,McLaren,55,3
2,Clay Regazzoni,Ferrari,52,1
3,Jody Scheckter,Tyrrell,45,2
4,Niki Lauda,Ferrari,38,2
5,Ronnie Peterson,Team Lotus,35,3
6,Carlos Reutemann,Brabham,32,3
7,Denny Hulme,McLaren,20,1
8,James Hunt,March,15,0
9,Patrick Depailler,Tyrrell,14,0
10,Jacky Ickx,Team Lotus,12,0
11,Mike Hailwood,McLaren,12,0
12,Carlos Pace,Surtees,11,0
13,Jean-Pierre Beltoise,BRM,10,0
14,Jean-Pierre Jarier,Shadow,6,0
15,John Watson,Brabham,6,0
16,Hans-Joachim Stuck,March,5,0
17,Arturo Merzario,Iso Marlboro,4,0
18,Graham Hill,Lola,1,0
19,Tom Pryce,Token,1,0
20,Vittorio Brambilla,March,1,0
21,Guy Edwards,Lola,0,0
22,David Hobbs,McLaren,0,0
23,Jochen Mass,Surtees,0,0
24,Brian Redman,Shadow,0,0
25,Mario Andretti,Parnelli,0,0
26,Howden Ganley,March,0,0
27,Tom Belsø,Iso Marlboro,0,0
28,Rikky von Opel,Brabham,0,0
29,Henri Pescarolo,BRM,0,0
30,Chris Amon,Amon,0,0
