position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:38.285,1:36.423,1:35.782
2,6,Nico Rosberg,Mercedes,1:38.496,1:36.747,1:35.828
3,5,Sebastian Vettel,Ferrari,1:37.502,1:36.957,1:36.687
4,19,Felipe Massa,Williams,1:38.433,1:37.357,1:36.954
5,77,Valtteri Bottas,Williams,1:38.014,1:37.763,1:37.143
6,7,Kimi Räikkönen,Ferrari,1:37.790,1:37.109,1:37.232
7,3,Daniel Ricciardo,Red Bull,1:38.534,1:37.939,1:37.540
8,8,Romain Grosjean,Lotus F1,1:38.209,1:38.063,1:37.905
9,12,Felipe Nasr,Sauber,1:38.521,1:38.017,1:38.067
10,9,Marcus Ericsson,Sauber,1:38.941,1:38.127,1:38.158
11,13,Pastor Maldonado,Lotus F1,1:38.563,1:38.134,
12,26,Daniil Kvyat,Red Bull,1:39.051,1:38.209,
13,33,Max Verstappen,Toro Rosso,1:38.387,1:38.393,
14,55,Carlos Sainz,Toro Rosso,1:38.622,1:38.538,
15,11,Sergio Pérez,Force India,1:38.903,1:39.290,
16,27,Nico Hülkenberg,Force India,1:39.216,,
17,22,Jenson Button,McLaren,1:39.276,,
18,14,Fernando Alonso,McLaren,1:39.280,,
19,28,Will Stevens,Manor Marussia,1:42.091,,
20,98,Roberto Merhi,Manor Marussia,1:42.842,,
