round,raceName,date,time,circuit,country
1,British Grand Prix,1950-05-13,,Silverstone Circuit,UK
2,Monaco Grand Prix,1950-05-21,,Circuit de Monaco,Monaco
3,Indianapolis 500,1950-05-30,,Indianapolis Motor Speedway,USA
4,Swiss Grand Prix,1950-06-04,,Circuit Bremgarten,Switzerland
5,Belgian Grand Prix,1950-06-18,,Circuit de Spa-Francorchamps,Belgium
6,French Grand Prix,1950-07-02,,Reims-Gueux,France
7,Italian Grand Prix,1950-09-03,,Autodromo Nazionale di Monza,Italy
