Position,Driver,Constructor,Points,Wins
1,Valtteri Bottas,Mercedes,87,2
2,Lewis Hamilton,Mercedes,86,2
3,Sebastian Vettel,Ferrari,52,0
4,Max Verstappen,Red Bull,51,0
5,Charles Leclerc,Ferrari,47,0
6,Sergio Pérez,Racing Point,13,0
7,Pierre Gasly,Red Bull,13,0
8,Kimi Räikkönen,Alfa Romeo,13,0
9,Lando Norris,McLaren,12,0
10,Kevin Magnussen,Haas F1 Team,8,0
11,Nico Hülkenberg,Renault,6,0
12,Carlos Sainz,McLaren,6,0
13,Daniel Ricciardo,Renault,6,0
14,Lance Stroll,Racing Point,4,0
15,Alexander Albon,Toro Rosso,3,0
16,Daniil Kvyat,Toro Rosso,1,0
17,Antonio Giovinazzi,Alfa Romeo,0,0
18,Romain Grosjean,Haas F1 Team,0,0
19,George Russell,Williams,0,0
20,Robert Kubica,Williams,0,0
