position,number,driver,constructor,Q1,Q2,Q3
1,6,David Coulthard,Williams,1:20.537,,
2,5,Damon Hill,Williams,1:20.905,,
3,1,Michael Schumacher,Benetton,1:21.301,,
4,28,Gerhard Berger,Ferrari,1:21.970,,
5,30,Heinz-Harald Frentzen,Sauber,1:22.226,,
6,2,Johnny Herbert,Benetton,1:22.322,,
7,27,Jean Alesi,Ferrari,1:22.391,,
8,14,Rubens Barrichello,Jordan,1:22.538,,
9,25,Martin Brundle,Ligier,1:22.588,,
10,15,Eddie Irvine,Jordan,1:22.831,,
11,26,Olivier Panis,Ligier,1:22.904,,
12,7,Mark Blundell,McLaren,1:22.914,,
13,8,Mika Häkkinen,McLaren,1:23.064,,
14,29,Jean-Christophe Boullion,Sauber,1:23.934,,
15,4,Mika Salo,Tyrrell,1:23.936,,
16,3,Ukyo Katayama,Tyrrell,1:24.287,,
17,23,Pedro Lamy,Minardi,1:24.657,,
18,24,Luca Badoer,Minardi,1:24.778,,
19,10,Taki Inoue,Footwork,1:24.883,,
20,9,Massimiliano Papis,Footwork,1:25.179,,
21,17,Andrea Montermini,Pacific,1:26.172,,
22,21,Pedro Diniz,Forti,1:27.292,,
23,22,Roberto Moreno,Forti,1:27.523,,
24,16,Jean-Denis Délétraz,Pacific,1:32.769,,
