Position,Driver,Constructor,Points,Wins
1,Damon Hill,Williams,30,3
2,Jacques Villeneuve,Williams,12,0
3,Jean Alesi,Benetton,10,0
4,Eddie Irvine,Ferrari,6,0
5,Mika Häkkinen,McLaren,5,0
6,Michael Schumacher,Ferrari,4,0
7,Rubens Barrichello,Jordan,3,0
8,Gerhard Berger,Benetton,3,0
9,Mika Salo,Tyrrell,3,0
10,Olivier Panis,Ligier,1,0
11,Jos Verstappen,Footwork,1,0
12,David Coulthard,McLaren,0,0
13,Pedro Diniz,Ligier,0,0
14,Heinz-Harald Frentzen,Sauber,0,0
15,Ukyo Katayama,Tyrrell,0,0
16,Johnny Herbert,Sauber,0,0
17,Ricardo Rosset,Footwork,0,0
18,Pedro Lamy,Minardi,0,0
19,Andrea Montermini,Forti,0,0
20,Luca Badoer,Forti,0,0
21,Martin Brundle,Jordan,0,0
