position,number,driver,constructor,Q1,Q2,Q3
1,5,Damon Hill,Williams,1:30.346,,
2,1,Michael Schumacher,Ferrari,1:30.598,,
3,6,Jacques Villeneuve,Williams,1:30.907,,
4,3,Jean Alesi,Benetton,1:31.038,,
5,4,Gerhard Berger,Benetton,1:31.262,,
6,11,Rubens Barrichello,Jordan,1:31.404,,
7,17,Jos Verstappen,Footwork,1:31.615,,
8,7,Mika Häkkinen,McLaren,1:31.801,,
9,8,David Coulthard,McLaren,1:32.001,,
10,2,Eddie Irvine,Ferrari,1:32.058,,
11,15,Heinz-Harald Frentzen,Sauber,1:32.130,,
12,9,Olivier Panis,Ligier,1:32.177,,
13,18,Ukyo Katayama,Tyrrell,1:32.407,,
14,21,Tarso Marques,Minardi,1:32.502,,
15,12,Martin Brundle,Jordan,1:32.696,,
16,19,Mika Salo,Tyrrell,1:32.903,,
17,14,Johnny Herbert,Sauber,1:33.256,,
18,10,Pedro Diniz,Ligier,1:33.424,,
19,20,Pedro Lamy,Minardi,1:33.727,,
20,16,Ricardo Rosset,Footwork,1:33.752,,
21,22,Luca Badoer,Forti,1:34.830,,
22,23,Andrea Montermini,Forti,1:35.651,,
