position,number,driver,constructor,Q1,Q2,Q3
1,2,Felipe Massa,Ferrari,1:38.176,1:37.859,1:38.989
2,22,Lewis Hamilton,McLaren,1:38.464,1:37.954,1:39.199
3,4,Robert Kubica,BMW Sauber,1:38.347,1:38.050,1:39.392
4,1,Kimi Räikkönen,Ferrari,1:38.703,1:38.229,1:39.488
5,23,Heikki Kovalainen,McLaren,1:38.656,1:38.120,1:39.937
6,15,Sebastian Vettel,Toro Rosso,1:38.141,1:37.842,1:40.142
7,11,Jarno Trulli,Toyota,1:37.948,1:37.928,1:40.309
8,3,Nick Heidfeld,BMW Sauber,1:38.738,1:37.859,1:40.631
9,7,Nico Rosberg,Williams,1:38.595,1:38.336,1:40.721
10,14,Sébastien Bourdais,Toro Rosso,1:38.622,1:38.417,1:40.750
11,8,Kazuki Nakajima,Williams,1:38.667,1:38.428,
12,5,Fernando Alonso,Renault,1:38.268,1:38.435,
13,12,Timo Glock,Toyota,1:38.532,1:38.499,
14,10,Mark Webber,Red Bull,1:38.559,1:38.515,
15,6,Nelson Piquet Jr.,Renault,1:38.787,1:38.744,
16,16,Jenson Button,Honda,1:38.880,,
17,9,David Coulthard,Red Bull,1:39.235,,
18,21,Giancarlo Fisichella,Force India,1:39.268,,
19,17,Rubens Barrichello,Honda,1:39.811,,
20,20,Adrian Sutil,Force India,1:39.943,,
