position,number,driver,constructor,Q1,Q2,Q3
1,15,Sebastian Vettel,Red Bull,1:30.883,1:30.341,1:32.160
2,9,Jarno Trulli,Toyota,1:31.063,1:30.737,1:32.220
3,1,Lewis Hamilton,McLaren,1:30.917,1:30.627,1:32.395
4,20,Adrian Sutil,Force India,1:31.386,1:31.222,1:32.466
5,23,Rubens Barrichello,Brawn,1:31.272,1:31.055,1:32.660
6,6,Nick Heidfeld,BMW Sauber,1:31.501,1:31.260,1:32.945
7,22,Jenson Button,Brawn,1:31.041,1:30.880,1:32.962
8,4,Kimi Räikkönen,Ferrari,1:31.288,1:31.052,1:32.980
9,2,Heikki Kovalainen,McLaren,1:31.499,1:31.223,
10,12,Sébastien Buemi,Toro Rosso,1:31.196,1:31.103,
11,16,Nico Rosberg,Williams,1:31.286,1:31.482,
12,7,Fernando Alonso,Renault,1:31.401,1:31.638,
13,5,Robert Kubica,BMW Sauber,1:31.417,1:32.341,
14,10,Timo Glock,Toyota,1:31.550,,
15,11,Jaime Alguersuari,Toro Rosso,1:31.571,,
16,3,Giancarlo Fisichella,Ferrari,1:31.704,,
17,17,Kazuki Nakajima,Williams,1:31.718,,
18,8,Romain Grosjean,Renault,1:32.073,,
19,21,Vitantonio Liuzzi,Force India,1:32.087,,
20,14,Mark Webber,Red Bull,,,
