round,raceName,date,time,circuit,country
1,South African Grand Prix,1970-03-07,,Kyalami,South Africa
2,Spanish Grand Prix,1970-04-19,,Jarama,Spain
3,Monaco Grand Prix,1970-05-10,,Circuit de Monaco,Monaco
4,Belgian Grand Prix,1970-06-07,,Circuit de Spa-Francorchamps,Belgium
5,Dutch Grand Prix,1970-06-21,,Circuit Park Zandvoort,Netherlands
6,French Grand Prix,1970-07-05,,Charade Circuit,France
7,British Grand Prix,1970-07-18,,Brands Hatch,UK
8,German Grand Prix,1970-08-02,,Hockenheimring,Germany
9,Austrian Grand Prix,1970-08-16,,Red Bull Ring,Austria
10,Italian Grand Prix,1970-09-06,,Autodromo Nazionale di Monza,Italy
11,Canadian Grand Prix,1970-09-20,,Circuit Mont-Tremblant,Canada
12,United States Grand Prix,1970-10-04,,Watkins Glen,USA
13,Mexican Grand Prix,1970-10-25,,Autódromo Hermanos Rodríguez,Mexico
