position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:14.221,1:14.585,1:13.609
2,44,Lewis Hamilton,Mercedes,1:14.229,1:14.643,1:13.706
3,33,Max Verstappen,Red Bull,1:15.034,1:14.974,1:14.176
4,10,Pierre Gasly,AlphaTauri,1:15.183,1:14.681,1:14.502
5,3,Daniel Ricciardo,Renault,1:15.474,1:14.953,1:14.520
6,23,Alexander Albon,Red Bull,1:15.402,1:14.745,1:14.572
7,16,Charles Leclerc,Ferrari,1:15.123,1:15.017,1:14.616
8,26,Daniil Kvyat,AlphaTauri,1:15.412,1:15.022,1:14.696
9,4,Lando Norris,McLaren,1:15.274,1:15.051,1:14.814
10,55,Carlos Sainz,McLaren,1:15.528,1:15.027,1:14.911
11,11,Sergio Pérez,Racing Point,1:15.407,1:15.061,
12,31,Esteban Ocon,Renault,1:15.352,1:15.201,
13,63,George Russell,Williams,1:15.760,1:15.323,
14,5,Sebastian Vettel,Ferrari,1:15.571,1:15.385,
15,18,Lance Stroll,Racing Point,1:15.822,1:15.494,
16,8,Romain Grosjean,Haas F1 Team,1:15.918,,
17,20,Kevin Magnussen,Haas F1 Team,1:15.939,,
18,7,Kimi Räikkönen,Alfa Romeo,1:15.953,,
19,6,Nicholas Latifi,Williams,1:15.987,,
20,99,Antonio Giovinazzi,Alfa Romeo,1:16.208,,
