round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1957-01-13,,Autódromo Juan y Oscar Gálvez,Argentina
2,Monaco Grand Prix,1957-05-19,,Circuit de Monaco,Monaco
3,Indianapolis 500,1957-05-30,,Indianapolis Motor Speedway,USA
4,French Grand Prix,1957-07-07,,Rouen-Les-Essarts,France
5,British Grand Prix,1957-07-20,,Aintree,UK
6,German Grand Prix,1957-08-04,,Nürburgring,Germany
7,Pescara Grand Prix,1957-08-18,,Pescara Circuit,Italy
8,Italian Grand Prix,1957-09-08,,Autodromo Nazionale di Monza,Italy
