position,number,driver,constructor,Q1,Q2,Q3
1,28,Gerhard Berger,Ferrari,1:20.608,,
2,0,Damon Hill,Williams,1:20.766,,
3,2,David Coulthard,Williams,1:21.033,,
4,7,Mika Häkkinen,McLaren,1:21.251,,
5,27,Jean Alesi,Ferrari,1:21.517,,
6,3,Ukyo Katayama,Tyrrell,1:21.590,,
7,8,Martin Brundle,McLaren,1:21.656,,
8,14,Rubens Barrichello,Jordan,1:21.796,,
9,30,Heinz-Harald Frentzen,Sauber,1:21.921,,
10,6,Jos Verstappen,Benetton,1:22.000,,
11,9,Christian Fittipaldi,Footwork,1:22.132,,
12,4,Mark Blundell,Tyrrell,1:22.288,,
13,15,Eddie Irvine,Jordan,1:22.294,,
14,5,Jyrki Järvilehto,Benetton,1:22.369,,
15,26,Olivier Panis,Ligier,1:22.672,,
16,10,Gianni Morbidelli,Footwork,1:22.756,,
17,29,Andrea de Cesaris,Sauber,1:22.885,,
18,23,Pierluigi Martini,Minardi,1:23.243,,
19,24,Michele Alboreto,Minardi,1:23.364,,
20,12,Johnny Herbert,Team Lotus,1:23.408,,
21,25,Éric Bernard,Ligier,1:23.699,,
22,20,Érik Comas,Larrousse,1:24.192,,
23,19,Yannick Dalmas,Larrousse,1:24.438,,
24,31,David Brabham,Simtek,1:24.514,,
25,11,Philippe Adams,Team Lotus,1:25.313,,
26,32,Jean-Marc Gounon,Simtek,1:25.649,,
