position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Ferrari,1:17.244,1:16.802,1:16.276
2,7,Kimi Räikkönen,Ferrari,1:17.364,1:17.207,1:16.444
3,77,Valtteri Bottas,Mercedes,1:18.058,1:17.362,1:16.530
4,44,Lewis Hamilton,Mercedes,1:17.492,1:16.693,1:16.707
5,33,Max Verstappen,Red Bull,1:17.266,1:17.028,1:16.797
6,3,Daniel Ricciardo,Red Bull,1:17.702,1:17.698,1:16.818
7,27,Nico Hülkenberg,Renault,1:18.137,1:17.655,1:17.468
8,14,Fernando Alonso,McLaren,1:18.395,1:17.919,1:17.549
9,2,Stoffel Vandoorne,McLaren,1:18.479,1:18.000,1:17.894
10,55,Carlos Sainz,Toro Rosso,1:18.948,1:18.311,1:18.912
11,30,Jolyon Palmer,Renault,1:18.699,1:18.415,
12,31,Esteban Ocon,Force India,1:18.843,1:18.495,
13,26,Daniil Kvyat,Toro Rosso,1:18.702,1:18.538,
14,11,Sergio Pérez,Force India,1:19.095,1:18.639,
15,8,Romain Grosjean,Haas F1 Team,1:19.085,1:18.771,
16,20,Kevin Magnussen,Haas F1 Team,1:19.095,,
17,18,Lance Stroll,Williams,1:19.102,,
18,94,Pascal Wehrlein,Sauber,1:19.839,,
19,40,Paul di Resta,Williams,1:19.868,,
20,9,Marcus Ericsson,Sauber,1:19.972,,
