Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,52,4
2,David Coulthard,McLaren,40,2
3,Rubens Barrichello,Ferrari,24,0
4,Ralf Schumacher,Williams,12,1
5,Nick Heidfeld,Sauber,8,0
6,Jacques Villeneuve,BAR,7,0
7,Jarno Trulli,Jordan,7,0
8,Juan Pablo Montoya,Williams,6,0
9,Heinz-Harald Frentzen,Jordan,6,0
10,Olivier Panis,BAR,5,0
11,Eddie Irvine,Jaguar,4,0
12,Kimi Räikkönen,Sauber,4,0
13,Mika Häkkinen,McLaren,4,0
14,Jos Verstappen,Arrows,1,0
15,Jean Alesi,Prost,1,0
16,Giancarlo Fisichella,Benetton,1,0
17,Jenson Button,Benetton,0,0
18,Luciano Burti,Jaguar,0,0
19,Enrique Bernoldi,Arrows,0,0
20,Tarso Marques,Minardi,0,0
21,Fernando Alonso,Minardi,0,0
22,Gastón Mazzacane,Prost,0,0
