position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,2:03.029,2:03.317,1:48.298
2,3,Lewis Hamilton,McLaren,2:03.008,2:02.823,1:48.730
3,2,Mark Webber,Red Bull,2:02.827,2:03.302,1:49.376
4,6,Felipe Massa,Ferrari,2:05.834,2:04.507,1:50.256
5,8,Nico Rosberg,Mercedes,2:05.091,2:03.723,1:50.552
6,19,Jaime Alguersuari,Toro Rosso,2:05.419,2:04.561,1:50.773
7,9,Bruno Senna,Renault,2:05.047,2:04.452,1:51.121
8,5,Fernando Alonso,Ferrari,2:04.450,2:02.768,1:51.251
9,17,Sergio Pérez,Sauber,2:06.284,2:04.625,1:51.374
10,10,Vitaly Petrov,Renault,2:05.292,2:03.466,1:52.303
11,18,Sébastien Buemi,Toro Rosso,2:04.744,2:04.692,
12,16,Kamui Kobayashi,Sauber,2:07.194,2:04.757,
13,4,Jenson Button,McLaren,2:01.813,2:05.150,
14,11,Rubens Barrichello,Williams,2:05.720,2:07.349,
15,14,Adrian Sutil,Force India,2:06.000,2:07.777,
16,12,Pastor Maldonado,Williams,2:05.621,2:08.106,
17,20,Heikki Kovalainen,Lotus,2:06.780,2:08.354,
18,15,Paul di Resta,Force India,2:07.758,,
19,21,Jarno Trulli,Lotus,2:08.773,,
20,24,Timo Glock,Virgin,2:09.566,,
21,25,Jérôme d'Ambrosio,Virgin,2:11.601,,
22,23,Vitantonio Liuzzi,HRT,2:11.616,,
23,22,Daniel Ricciardo,HRT,2:13.077,,
