position,number,driver,constructor,Q1,Q2,Q3
1,16,Charles Leclerc,Ferrari,1:38.014,1:36.650,1:36.217
2,44,Lewis Hamilton,Mercedes,1:37.565,1:36.933,1:36.408
3,5,Sebastian Vettel,Ferrari,1:38.374,1:36.720,1:36.437
4,33,Max Verstappen,Red Bull,1:38.540,1:37.089,1:36.813
5,77,Valtteri Bottas,Mercedes,1:37.317,1:37.142,1:37.146
6,23,Alexander Albon,Red Bull,1:39.106,1:37.865,1:37.411
7,55,Carlos Sainz,McLaren,1:38.882,1:37.982,1:37.818
8,27,Nico Hülkenberg,Renault,1:39.001,1:38.580,1:38.264
9,4,Lando Norris,McLaren,1:38.606,1:37.572,1:38.329
10,11,Sergio Pérez,Racing Point,1:39.909,1:38.520,
11,99,Antonio Giovinazzi,Alfa Romeo,1:39.272,1:38.697,
12,10,Pierre Gasly,Toro Rosso,1:39.085,1:38.699,
13,7,Kimi Räikkönen,Alfa Romeo,1:39.454,1:38.858,
14,20,Kevin Magnussen,Haas F1 Team,1:39.942,1:39.650,
15,26,Daniil Kvyat,Toro Rosso,1:39.957,,
16,18,Lance Stroll,Racing Point,1:39.979,,
17,8,Romain Grosjean,Haas F1 Team,1:40.277,,
18,63,George Russell,Williams,1:40.867,,
19,88,Robert Kubica,Williams,1:41.186,,
20,3,Daniel Ricciardo,Renault,,,
