Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,72,4
2,Juan Pablo Montoya,Williams,71,2
3,Kimi Räikkönen,McLaren,70,1
4,Ralf Schumacher,Williams,58,2
5,Fernando Alonso,Renault,54,1
6,Rubens Barrichello,Ferrari,49,1
7,David Coulthard,McLaren,45,1
8,Jarno Trulli,Renault,24,0
9,Mark Webber,Jaguar,15,0
10,Jenson Button,BAR,12,0
11,Giancarlo Fisichella,Jordan,10,1
12,Cristiano da Matta,Toyota,8,0
13,Heinz-Harald Frentzen,Sauber,7,0
14,Olivier Panis,Toyota,6,0
15,Jacques Villeneuve,BAR,3,0
16,Nick Heidfeld,Sauber,2,0
17,Ralph Firman,Jordan,1,0
18,Antônio Pizzonia,Jaguar,0,0
19,Jos Verstappen,Minardi,0,0
20,Justin Wilson,Minardi,0,0
21,Nicolas Kiesa,Minardi,0,0
