position,number,driver,constructor,Q1,Q2,Q3
1,8,Fernando Alonso,Renault,1:21.688,,
2,4,Ralf Schumacher,Williams,1:21.944,,
3,14,Mark Webber,Jaguar,1:22.027,,
4,3,Juan Pablo Montoya,Williams,1:22.180,,
5,2,Rubens Barrichello,Ferrari,1:22.180,,
6,7,Jarno Trulli,Renault,1:22.610,,
7,6,Kimi Räikkönen,McLaren,1:22.742,,
8,1,Michael Schumacher,Ferrari,1:22.755,,
9,5,David Coulthard,McLaren,1:23.060,,
10,20,Olivier Panis,Toyota,1:23.369,,
11,9,Nick Heidfeld,Sauber,1:23.621,,
12,15,Justin Wilson,Jaguar,1:23.660,,
13,11,Giancarlo Fisichella,Jordan,1:23.726,,
14,17,Jenson Button,BAR,1:23.847,,
15,21,Cristiano da Matta,Toyota,1:23.982,,
16,16,Jacques Villeneuve,BAR,1:24.100,,
17,10,Heinz-Harald Frentzen,Sauber,1:24.569,,
18,19,Jos Verstappen,Minardi,1:26.423,,
19,12,Zsolt Baumgartner,Jordan,1:26.678,,
20,18,Nicolas Kiesa,Minardi,1:28.907,,
