position,number,driver,constructor,Q1,Q2,Q3
1,1,Michael Schumacher,Ferrari,1:35.266,,
2,6,Juan Pablo Montoya,Williams,1:35.497,,
3,2,Rubens Barrichello,Ferrari,1:35.891,,
4,3,Ralf Schumacher,Williams,1:36.028,,
5,4,Kimi Räikkönen,McLaren,1:36.468,,
6,3,David Coulthard,McLaren,1:36.477,,
7,7,Nick Heidfeld,Sauber,1:37.199,,
8,15,Jenson Button,Renault,1:37.245,,
9,9,Giancarlo Fisichella,Jordan,1:37.536,,
10,24,Mika Salo,Toyota,1:37.694,,
11,20,Heinz-Harald Frentzen,Arrows,1:37.919,,
12,14,Jarno Trulli,Renault,1:37.920,,
13,11,Jacques Villeneuve,BAR,1:38.039,,
14,8,Felipe Massa,Sauber,1:38.057,,
15,10,Takuma Sato,Jordan,1:38.141,,
16,21,Enrique Bernoldi,Arrows,1:38.284,,
17,17,Pedro de la Rosa,Jaguar,1:38.374,,
18,12,Olivier Panis,BAR,1:38.390,,
19,25,Allan McNish,Toyota,1:38.959,,
20,16,Eddie Irvine,Jaguar,1:39.121,,
21,23,Mark Webber,Minardi,1:39.454,,
22,22,Alex Yoong,Minardi,1:40.158,,
