Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,14,1
2,Juan Pablo Montoya,Williams,12,0
3,Ralf Schumacher,Williams,10,1
4,Kimi Räikkönen,McLaren,4,0
5,Jenson Button,Renault,3,0
6,Eddie Irvine,Jaguar,3,0
7,Nick Heidfeld,Sauber,2,0
8,Mark Webber,Minardi,2,0
9,Mika Salo,Toyota,1,0
10,Felipe Massa,Sauber,1,0
11,Allan McNish,Toyota,0,0
12,Alex Yoong,Minardi,0,0
13,Pedro de la Rosa,Jaguar,0,0
14,Jacques Villeneuve,BAR,0,0
15,Takuma Sato,Jordan,0,0
16,Heinz-Harald Frentzen,Arrows,0,0
17,Giancarlo Fisichella,Jordan,0,0
