position,number,driver,constructor,Q1,Q2,Q3
1,6,Mark Webber,Red Bull,1:27.500,1:26.818,1:26.295
2,2,Lewis Hamilton,McLaren,1:27.667,1:27.013,1:26.433
3,5,Sebastian Vettel,Red Bull,1:27.067,1:26.729,1:26.760
4,1,Jenson Button,McLaren,1:27.555,1:27.277,1:26.781
5,3,Michael Schumacher,Mercedes,1:27.756,1:27.438,1:26.857
6,4,Nico Rosberg,Mercedes,1:27.649,1:27.141,1:26.952
7,11,Robert Kubica,Renault,1:27.766,1:27.426,1:27.039
8,7,Felipe Massa,Ferrari,1:27.993,1:27.200,1:27.082
9,12,Vitaly Petrov,Renault,1:27.620,1:27.387,1:27.430
10,23,Kamui Kobayashi,Sauber,1:28.158,1:27.434,1:28.122
11,14,Adrian Sutil,Force India,1:27.951,1:27.525,
12,8,Fernando Alonso,Ferrari,1:27.857,1:27.612,
13,22,Pedro de la Rosa,Sauber,1:28.147,1:27.879,
14,16,Sébastien Buemi,Toro Rosso,1:28.534,1:28.273,
15,9,Rubens Barrichello,Williams,1:28.336,1:28.392,
16,17,Jaime Alguersuari,Toro Rosso,1:28.460,1:28.540,
17,10,Nico Hülkenberg,Williams,1:28.227,1:28.841,
18,15,Vitantonio Liuzzi,Force India,1:28.958,,
19,18,Jarno Trulli,Lotus,1:30.237,,
20,19,Heikki Kovalainen,Lotus,1:30.519,,
21,24,Timo Glock,Virgin,1:30.744,,
22,21,Bruno Senna,HRT,1:31.266,,
23,25,Lucas di Grassi,Virgin,1:31.989,,
24,20,Karun Chandhok,HRT,1:32.060,,
