Position,Driver,Constructor,Points,Wins
1,Mark Webber,Red Bull,93,2
2,Jenson Button,McLaren,88,2
3,Lewis Hamilton,McLaren,84,1
4,Fernando Alonso,Ferrari,79,1
5,Sebastian Vettel,Red Bull,78,1
6,Robert Kubica,Renault,67,0
7,Felipe Massa,Ferrari,67,0
8,Nico Rosberg,Mercedes,66,0
9,Michael Schumacher,Mercedes,34,0
10,Adrian Sutil,Force India,22,0
11,Vitantonio Liuzzi,Force India,10,0
12,Rubens Barrichello,Williams,7,0
13,Vitaly Petrov,Renault,6,0
14,Jaime Alguersuari,Toro Rosso,3,0
15,Sébastien Buemi,Toro Rosso,1,0
16,Kamui Kobayashi,Sauber,1,0
17,Nico Hülkenberg,Williams,1,0
18,Pedro de la Rosa,Sauber,0,0
19,Heikki Kovalainen,Lotus,0,0
20,Karun Chandhok,HRT,0,0
21,Lucas di Grassi,Virgin,0,0
22,Jarno Trulli,Lotus,0,0
23,Bruno Senna,HRT,0,0
24,Timo Glock,Virgin,0,0
