position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:12.692,1:12.496,1:11.459
2,5,Sebastian Vettel,Ferrari,1:13.046,1:12.749,1:11.789
3,77,Valtteri Bottas,Mercedes,1:12.685,1:12.563,1:12.177
4,7,Kimi Räikkönen,Ferrari,1:13.548,1:12.580,1:12.252
5,33,Max Verstappen,Red Bull,1:13.177,1:12.751,1:12.403
6,3,Daniel Ricciardo,Red Bull,1:13.543,1:12.810,1:12.557
7,19,Felipe Massa,Williams,1:13.435,1:13.012,1:12.858
8,11,Sergio Pérez,Force India,1:13.470,1:13.262,1:13.018
9,31,Esteban Ocon,Force India,1:13.520,1:13.320,1:13.135
10,27,Nico Hülkenberg,Renault,1:13.804,1:13.406,1:13.271
11,26,Daniil Kvyat,Toro Rosso,1:13.802,1:13.690,
12,14,Fernando Alonso,McLaren,1:13.669,1:13.693,
13,55,Carlos Sainz,Toro Rosso,1:14.051,1:13.756,
14,8,Romain Grosjean,Haas F1 Team,1:13.780,1:13.839,
15,30,Jolyon Palmer,Renault,1:13.990,1:14.293,
16,2,Stoffel Vandoorne,McLaren,1:14.182,,
17,18,Lance Stroll,Williams,1:14.209,,
18,20,Kevin Magnussen,Haas F1 Team,1:14.318,,
19,9,Marcus Ericsson,Sauber,1:14.495,,
20,94,Pascal Wehrlein,Sauber,1:14.810,,
