position,number,driver,constructor,Q1,Q2,Q3
1,5,Giancarlo Fisichella,Benetton,1:29.598,,
2,14,Jean Alesi,Sauber,1:30.317,,
3,8,Mika Häkkinen,McLaren,1:30.517,,
4,3,Michael Schumacher,Ferrari,1:30.551,,
5,18,Rubens Barrichello,Stewart,1:31.005,,
6,17,Mika Salo,Arrows,1:31.028,,
7,2,Heinz-Harald Frentzen,Williams,1:31.515,,
8,4,Eddie Irvine,Ferrari,1:31.651,,
9,10,Ralf Schumacher,Jordan,1:31.917,,
10,11,Olivier Panis,Prost,1:32.081,,
11,1,Jacques Villeneuve,Williams,1:32.083,,
12,19,Jos Verstappen,Stewart,1:32.099,,
13,16,Pedro Diniz,Arrows,1:32.206,,
14,7,David Coulthard,McLaren,1:32.399,,
15,9,Damon Hill,Jordan,1:32.718,,
16,12,Jarno Trulli,Prost,1:32.906,,
17,6,Alexander Wurz,Benetton,1:33.185,,
18,15,Johnny Herbert,Sauber,1:33.205,,
19,23,Esteban Tuero,Minardi,1:33.399,,
20,21,Toranosuke Takagi,Tyrrell,1:34.090,,
21,22,Shinji Nakano,Minardi,1:34.536,,
22,20,Ricardo Rosset,Tyrrell,1:34.910,,
