position,number,driver,constructor,Q1,Q2,Q3
1,2,Felipe Massa,Ferrari,1:11.830,1:11.875,1:12.368
2,11,Jarno Trulli,Toyota,1:12.226,1:12.107,1:12.737
3,1,Kimi Räikkönen,Ferrari,1:12.083,1:11.950,1:12.825
4,22,Lewis Hamilton,McLaren,1:12.213,1:11.856,1:12.830
5,23,Heikki Kovalainen,McLaren,1:12.366,1:11.768,1:12.917
6,5,Fernando Alonso,Renault,1:12.214,1:12.090,1:12.967
7,15,Sebastian Vettel,Toro Rosso,1:12.390,1:11.845,1:13.082
8,3,Nick Heidfeld,BMW Sauber,1:12.371,1:12.026,1:13.297
9,14,Sébastien Bourdais,Toro Rosso,1:12.498,1:12.075,1:14.105
10,12,Timo Glock,Toyota,1:12.223,1:11.909,1:14.230
11,6,Nelson Piquet Jr.,Renault,1:12.348,1:12.137,
12,10,Mark Webber,Red Bull,1:12.409,1:12.289,
13,4,Robert Kubica,BMW Sauber,1:12.381,1:12.300,
14,9,David Coulthard,Red Bull,1:12.690,1:12.717,
15,17,Rubens Barrichello,Honda,1:12.548,1:13.139,
16,8,Kazuki Nakajima,Williams,1:12.800,,
17,16,Jenson Button,Honda,1:12.810,,
18,7,Nico Rosberg,Williams,1:13.002,,
19,21,Giancarlo Fisichella,Force India,1:13.426,,
20,20,Adrian Sutil,Force India,1:13.508,,
