position,number,driver,constructor,laps,grid,status,points
1,6,Ronnie Peterson,Team Lotus,78,12,Finished,9
2,4,Patrick Depailler,Tyrrell,78,11,Finished,6
3,2,John Watson,Brabham,78,10,Finished,4
4,27,Alan Jones,Williams,78,18,Finished,3
5,26,Jacques Laffite,Ligier,78,13,Finished,2
6,3,Didier Pironi,Tyrrell,77,14,+1 Lap,1
7,5,Mario Andretti,Team Lotus,77,2,+1 Lap,0
8,10,Jean-Pierre Jarier,ATS,77,17,+1 Lap,0
9,36,Rolf Stommelen,Arrows,77,22,+1 Lap,0
10,25,Hector Rebaque,Team Lotus,77,21,+1 Lap,0
11,30,Brett Lunger,McLaren,76,20,+2 Laps,0
12,19,Vittorio Brambilla,Surtees,76,19,+2 Laps,0
13,35,Riccardo Patrese,Arrows,63,7,Engine,0
14,20,Jody Scheckter,Wolf,59,5,Spun off,0
15,8,Patrick Tambay,McLaren,56,4,Accident,0
16,12,Gilles Villeneuve,Ferrari,55,8,Oil leak,0
17,11,Carlos Reutemann,Ferrari,55,9,Spun off,0
18,1,Niki Lauda,Brabham,52,1,Engine,0
19,18,Rupert Keegan,Surtees,52,23,Engine,0
20,9,Jochen Mass,ATS,43,15,Engine,0
21,37,Arturo Merzario,Merzario,39,26,Suspension,0
22,15,Jean-Pierre Jabouille,Renault,38,6,Engine,0
23,32,Keke Rosberg,Theodore,15,24,Clutch,0
24,14,Emerson Fittipaldi,Fittipaldi,9,16,Transmission,0
25,24,Eddie Cheever,Hesketh,8,25,Oil leak,0
26,7,James Hunt,McLaren,5,3,Engine,0
27,31,René Arnoux,Martini,0,0,Did not qualify,0
28,17,Clay Regazzoni,Shadow,0,0,Did not qualify,0
29,23,Lamberto Leoni,Ensign,0,0,Did not qualify,0
30,16,Hans-Joachim Stuck,Shadow,0,0,Did not qualify,0
