round,raceName,date,time,circuit,country
1,South African Grand Prix,1971-03-06,,Kyalami,South Africa
2,Spanish Grand Prix,1971-04-18,,Montjuïc,Spain
3,Monaco Grand Prix,1971-05-23,,Circuit de Monaco,Monaco
4,Dutch Grand Prix,1971-06-20,,Circuit Park Zandvoort,Netherlands
5,French Grand Prix,1971-07-04,,Circuit Paul Ricard,France
6,British Grand Prix,1971-07-17,,Silverstone Circuit,UK
7,German Grand Prix,1971-08-01,,Nürburgring,Germany
8,Austrian Grand Prix,1971-08-15,,Red Bull Ring,Austria
9,Italian Grand Prix,1971-09-05,,Autodromo Nazionale di Monza,Italy
10,Canadian Grand Prix,1971-09-19,,Mosport International Raceway,Canada
11,United States Grand Prix,1971-10-03,,Watkins Glen,USA
