position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:17.633,1:17.166,1:16.173
2,77,Valtteri Bottas,Mercedes,1:17.674,1:17.111,1:16.213
3,5,Sebastian Vettel,Ferrari,1:17.031,1:16.802,1:16.305
4,7,Kimi Räikkönen,Ferrari,1:17.483,1:17.071,1:16.612
5,33,Max Verstappen,Red Bull,1:17.411,1:17.266,1:16.816
6,3,Daniel Ricciardo,Red Bull,1:17.623,1:17.638,1:16.818
7,20,Kevin Magnussen,Haas F1 Team,1:18.169,1:17.618,1:17.676
8,14,Fernando Alonso,McLaren,1:18.276,1:18.100,1:17.721
9,55,Carlos Sainz,Renault,1:18.480,1:17.803,1:17.790
10,8,Romain Grosjean,Haas F1 Team,1:18.305,1:17.699,1:17.835
11,2,Stoffel Vandoorne,McLaren,1:18.885,1:18.323,
12,10,Pierre Gasly,Toro Rosso,1:18.550,1:18.463,
13,31,Esteban Ocon,Force India,1:18.813,1:18.696,
14,16,Charles Leclerc,Sauber,1:18.661,1:18.910,
15,11,Sergio Pérez,Force India,1:18.740,1:19.098,
16,27,Nico Hülkenberg,Renault,1:18.923,,
17,9,Marcus Ericsson,Sauber,1:19.493,,
18,35,Sergey Sirotkin,Williams,1:19.695,,
19,18,Lance Stroll,Williams,1:20.225,,
20,28,Brendon Hartley,Toro Rosso,,,
