Position,Driver,Constructor,Points,Wins
1,Max Verstappen,Red Bull,105,2
2,Lewis Hamilton,Mercedes,101,3
3,Lando Norris,McLaren,56,0
4,Valtteri Bottas,Mercedes,47,0
5,Sergio Pérez,Red Bull,44,0
6,Charles Leclerc,Ferrari,40,0
7,Carlos Sainz,Ferrari,38,0
8,Daniel Ricciardo,McLaren,24,0
9,Pierre Gasly,AlphaTauri,16,0
10,Esteban Ocon,Alpine F1 Team,12,0
11,Sebastian Vettel,Aston Martin,10,0
12,Lance Stroll,Aston Martin,9,0
13,Fernando Alonso,Alpine F1 Team,5,0
14,Yuki Tsunoda,AlphaTauri,2,0
15,Antonio Giovinazzi,Alfa Romeo,1,0
16,Kimi Räikkönen,Alfa Romeo,0,0
17,George Russell,Williams,0,0
18,Nicholas Latifi,Williams,0,0
19,Mick Schumacher,Haas F1 Team,0,0
20,Nikita Mazepin,Haas F1 Team,0,0
