Position,Driver,Constructor,Points,Wins
1,Pedro Rodríguez,Cooper-Maserati,9,1
2,John Love,Cooper-Climax,6,0
3,John Surtees,Honda,4,0
4,Denny Hulme,Brabham-Repco,3,0
5,Bob Anderson,Brabham-Climax,2,0
6,Jack Brabham,Brabham-Repco,1,0
7,Dave Charlton,Brabham-Climax,0,0
8,Luki Botha,Brabham-Climax,0,0
9,Sam Tingle,LDS-Climax,0,0
10,Piers Courage,Lotus-BRM,0,0
11,Dan Gurney,Eagle-Climax,0,0
12,Jo Siffert,Cooper-Maserati,0,0
13,Jochen Rindt,Cooper-Maserati,0,0
14,Mike Spence,BRM,0,0
15,Jo Bonnier,Cooper-Maserati,0,0
16,Jim Clark,Lotus-BRM,0,0
17,Graham Hill,Lotus-BRM,0,0
18,Jackie Stewart,BRM,0,0
