position,number,driver,constructor,Q1,Q2,Q3
1,6,Nico Rosberg,Mercedes,1:20.436,1:20.053,1:19.480
2,44,Lewis Hamilton,Mercedes,1:20.808,1:19.829,1:19.668
3,5,Sebastian Vettel,Ferrari,1:20.503,1:20.045,1:19.850
4,26,Daniil Kvyat,Red Bull,1:20.826,1:20.490,1:20.398
5,3,Daniel Ricciardo,Red Bull,1:21.166,1:20.783,1:20.399
6,77,Valtteri Bottas,Williams,1:20.817,1:20.458,1:20.448
7,19,Felipe Massa,Williams,1:21.379,1:20.642,1:20.567
8,33,Max Verstappen,Toro Rosso,1:20.995,1:20.894,1:20.710
9,11,Sergio Pérez,Force India,1:20.966,1:20.669,1:20.716
10,27,Nico Hülkenberg,Force India,1:21.315,1:20.935,1:20.788
11,55,Carlos Sainz,Toro Rosso,1:20.960,1:20.942,
12,8,Romain Grosjean,Lotus F1,1:21.577,1:21.038,
13,13,Pastor Maldonado,Lotus F1,1:21.520,1:21.261,
14,9,Marcus Ericsson,Sauber,1:21.299,1:21.544,
15,7,Kimi Räikkönen,Ferrari,1:21.422,1:22.494,
16,14,Fernando Alonso,McLaren,1:21.779,,
17,12,Felipe Nasr,Sauber,1:21.788,,
18,53,Alexander Rossi,Marussia,1:24.136,,
19,28,Will Stevens,Marussia,1:24.386,,
20,22,Jenson Button,McLaren,,,
