position,number,driver,constructor,Q1,Q2,Q3
1,1,Michael Schumacher,Ferrari,1:28.351,,
2,10,Takuma Sato,BAR,1:28.986,,
3,7,Jarno Trulli,Renault,1:29.135,,
4,6,Kimi Räikkönen,McLaren,1:29.137,,
5,9,Jenson Button,BAR,1:29.245,,
6,8,Fernando Alonso,Renault,1:29.313,,
7,2,Rubens Barrichello,Ferrari,1:29.353,,
8,3,Juan Pablo Montoya,Williams,1:29.354,,
9,4,Ralf Schumacher,Williams,1:29.459,,
10,17,Olivier Panis,Toyota,1:29.697,,
11,16,Cristiano da Matta,Toyota,1:29.706,,
12,15,Christian Klien,Jaguar,1:31.431,,
13,18,Nick Heidfeld,Jordan,1:31.604,,
14,14,Mark Webber,Jaguar,1:31.797,,
15,19,Giorgio Pantano,Jordan,1:31.979,,
16,12,Felipe Massa,Sauber,1:31.982,,
17,21,Zsolt Baumgartner,Minardi,1:34.398,,
18,5,David Coulthard,McLaren,,,
19,11,Giancarlo Fisichella,Sauber,,,
20,20,Gianmaria Bruni,Minardi,,,
