Position,Driver,Constructor,Points,Wins
1,Piero Taruffi,Ferrari,9,1
2,Troy Ruttman,Kuzma,8,1
3,Rudi Fischer,Ferrari,6,0
4,Jim Rathmann,Kurtis Kraft,6,0
5,Jean Behra,Gordini,4,0
6,Sam Hanks,Kurtis Kraft,4,0
7,Duane Carter,Lesovsky,3,0
8,Ken Wharton,Frazer Nash,3,0
9,Alan Brown,Cooper,2,0
10,Art Cross,Kurtis Kraft,2,0
11,Bill Vukovich,Kurtis Kraft,1,0
12,Jimmy Bryan,Kurtis Kraft,0,0
13,Toulo de Graffenried,Maserati,0,0
14,Peter Hirt,Ferrari,0,0
15,Jimmy Reece,Kurtis Kraft,0,0
16,Eric Brandon,Cooper,0,0
17,George Connor,Kurtis Kraft,0,0
18,Cliff Griffith,Kurtis Kraft,0,0
19,Johnnie Parsons,Kurtis Kraft,0,0
20,Jack McGrath,Kurtis Kraft,0,0
21,Jim Rigsby,Watson,0,0
22,Joe James,Kurtis Kraft,0,0
23,Bill Schindler,Stevens,0,0
24,George Fonder,Sherman,0,0
25,Eddie Johnson,Trevis,0,0
26,Chuck Stevenson,Kurtis Kraft,0,0
27,Henry Banks,Lesovsky,0,0
28,Manny Ayulo,Lesovsky,0,0
29,Johnny McDowell,Kurtis Kraft,0,0
30,Prince Bira,Simca,0,0
