position,number,driver,constructor,Q1,Q2,Q3
1,9,Kimi Räikkönen,McLaren,1:26.797,,
2,6,Giancarlo Fisichella,Renault,1:27.039,,
3,5,Fernando Alonso,Renault,1:27.050,,
4,10,Juan Pablo Montoya,McLaren,1:27.352,,
5,16,Jarno Trulli,Toyota,1:27.501,,
6,8,Nick Heidfeld,Williams,1:27.929,,
7,7,Mark Webber,Williams,1:27.944,,
8,12,Felipe Massa,Sauber,1:28.419,,
9,17,Ralf Schumacher,Toyota,1:28.594,,
10,15,Christian Klien,Red Bull,1:28.963,,
11,2,Rubens Barrichello,Ferrari,1:29.369,,
12,14,David Coulthard,Red Bull,1:29.764,,
13,3,Jenson Button,BAR,1:30.063,,
14,4,Takuma Sato,BAR,1:30.175,,
15,18,Tiago Monteiro,Jordan,1:30.710,,
16,21,Christijan Albers,Minardi,1:32.186,,
17,20,Robert Doornbos,Minardi,,,
18,11,Jacques Villeneuve,Sauber,,,
19,19,Narain Karthikeyan,Jordan,,,
20,1,Michael Schumacher,Ferrari,,,
