Position,Driver,Constructor,Points,Wins
1,Jackie Stewart,Tyrrell,42,4
2,Jacky Ickx,Ferrari,19,1
3,Ronnie Peterson,March-Ford,15,0
4,Emerson Fittipaldi,Lotus-Ford,10,0
5,Mario Andretti,Ferrari,9,1
6,Pedro Rodríguez,BRM,9,0
7,Clay Regazzoni,Ferrari,8,0
8,Chris Amon,Matra,8,0
9,François Cevert,Tyrrell,6,0
10,Denny Hulme,McLaren,6,0
11,Jo Siffert,BRM,4,0
12,Reine Wisell,Lotus-Ford,4,0
13,Henri Pescarolo,March-Ford,3,0
14,John Surtees,Surtees,3,0
15,Rolf Stommelen,Surtees,3,0
16,Jean-Pierre Beltoise,Matra,1,0
17,Howden Ganley,BRM,0,0
18,Brian Redman,Surtees,0,0
19,Peter Gethin,McLaren,0,0
20,Gijs van Lennep,Surtees,0,0
21,Tim Schenken,Brabham,0,0
22,Graham Hill,Brabham,0,0
23,Nanni Galli,March-Ford,0,0
24,Andrea de Adamich,March-Alfa Romeo,0,0
25,François Mazet,March-Ford,0,0
26,Skip Barber,March-Ford,0,0
27,Max Jean,March-Ford,0,0
28,Alex Soler-Roig,March-Ford,0,0
29,Dave Charlton,Brabham,0,0
30,Derek Bell,Surtees,0,0
