position,number,driver,constructor,laps,grid,status,points
1,6,Nico Rosberg,Mercedes,71,1,Finished,25
2,44,Lewis Hamilton,Mercedes,71,2,Finished,18
3,5,Sebastian Vettel,Ferrari,71,3,Finished,15
4,7,Kimi Räikkönen,Ferrari,71,4,Finished,12
5,77,Valtteri Bottas,Williams,70,7,+1 Lap,10
6,27,Nico Hülkenberg,Force India,70,5,+1 Lap,8
7,26,Daniil Kvyat,Red Bull,70,6,+1 Lap,6
8,8,Romain Grosjean,Lotus F1,70,14,+1 Lap,4
9,33,Max Verstappen,Toro Rosso,70,9,+1 Lap,2
10,13,Pastor Maldonado,Lotus F1,70,15,+1 Lap,1
11,3,Daniel Ricciardo,Red Bull,70,19,+1 Lap,0
12,11,Sergio Pérez,Force India,70,11,+1 Lap,0
13,12,Felipe Nasr,Sauber,70,13,+1 Lap,0
14,22,Jenson Button,McLaren,70,16,+1 Lap,0
15,14,Fernando Alonso,McLaren,70,20,+1 Lap,0
16,9,Marcus Ericsson,Sauber,69,12,+2 Laps,0
17,28,Will Stevens,Manor Marussia,67,18,+4 Laps,0
18,53,Alexander Rossi,Manor Marussia,67,17,+4 Laps,0
19,55,Carlos Sainz,Toro Rosso,0,10,Retired,0
20,19,Felipe Massa,Williams,70,8,Excluded,0
